Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
181382,National authorities,23.17642,91.97073,Asia,Bangladesh,Chittagong,Khagrachari,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,0,0,,,,,,
181381,National authorities,23.00622,91.41674,Asia,Bangladesh,Chittagong,Feni,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,160,8,,,,,,
181380,National authorities,21.49334,92.07642,Asia,Bangladesh,Chittagong,Cox's Bazar,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,0,0,,,,,,
181379,National authorities,23.4227,91.073481,Asia,Bangladesh,Chittagong,Comilla,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,21,2,,,,,,
181378,National authorities,22.42094,91.928851,Asia,Bangladesh,Chittagong,Chittagong,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,102,5,,,,,,
181377,National authorities,23.26963,90.77819,Asia,Bangladesh,Chittagong,Chandpur,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,102,5,,,,,,
181376,National authorities,23.94623,91.08217,Asia,Bangladesh,Chittagong,Brahmanbaria,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,36,4,,,,,,
181375,National authorities,21.80539,92.3789,Asia,Bangladesh,Chittagong,Bandarban,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,30,0,,,,,,
181374,National authorities,22.54709,90.00992,Asia,Bangladesh,Barisal,Pirojpur,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,0,0,,,,,,
181373,National authorities,22.197551,90.442547,Asia,Bangladesh,Barisal,Patuakhali,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,350,120,,,,,,
181372,National authorities,22.58731,90.20958,Asia,Bangladesh,Barisal,Jhalakati,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,0,0,,,,,,
181371,National authorities,22.40799,90.73816,Asia,Bangladesh,Barisal,Bhola,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,20,0,,,,,,
181370,National authorities,22.82644,90.34064,Asia,Bangladesh,Barisal,Barisal,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,7,1,,,,,,
181369,National authorities,22.188035,90.165723,Asia,Bangladesh,Barisal,Barguna,Centroid Admin2,31/07/2011,31/07/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,272,0,,,,,,
181368,National authorities,24.9092,92.0259,Asia,Bangladesh,Sylhet,Sylhet,Centroid Admin2,30/06/2011,30/06/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,42,5,,,,,,
181367,National authorities,24.886294,91.388277,Asia,Bangladesh,Sylhet,Sunamganj,Centroid Admin2,30/06/2011,30/06/2011,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",,2,1,,,,,,
